RO_nowout	RO_nowout

==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif
count	x-corner	y-corner	area	mean	min	max	area*mean	area*mean-area*min	max-min
1	143	48	49	11186.9592	711	30743	548161	513322	30032
2	164	49	49	4287.8163	619	22129	210103	179772	21510
3	96	64	49	4988.7959	700	35710	244451	210151	35010
4	192	74	49	5513.1633	557	24478	270145	242852	23921
5	169	75	49	4830.1224	655	25179	236676	204581	24524
6	158	88	49	3314.0816	829	17536	162390	121769	16707
7	149	90	49	3871.5102	830	21824	189704	149034	20994
8	130	94	49	4607.449	651	22119	225765	193866	21468
9	79	97	49	4969.5306	623	28287	243507	212980	27664
10	164	99	49	8027.7959	1111	41127	393362	338923	40016
11	108	107	49	3885.6327	988	19484	190396	141984	18496
12	89	111	49	2812.3061	419	16407	137803	117272	15988
13	151	114	49	4573.7551	1136	23619	224114	168450	22483
14	162	128	49	4919.6327	983	27606	241062	192895	26623
15	180	130	49	4536.5306	721	25351	222290	186961	24630
16	54	135	49	3628.4082	457	19839	177792	155399	19382
17	196	139	49	15024.5714	2064	39511	736204	635068	37447
18	125	141	49	4112.2449	686	20897	201500	167886	20211
19	52	142	49	4828.8367	505	27245	236613	211868	26740
20	100	143	49	4063.4898	475	24893	199111	175836	24418
21	115	150	49	4535.1429	659	23654	222222	189931	22995
22	123	154	49	3526.7551	529	23312	172811	146890	22783
23	192	158	49	4496.5714	819	25623	220332	180201	24804
24	116	160	49	6031	618	27763	295519	265237	27145
25	93	160	49	3211.4286	638	18688	157360	126098	18050
26	104	163	49	5542.1224	813	29254	271564	231727	28441
27	77	163	49	5052.5102	1011	18744	247573	198034	17733
28	161	165	49	3946.0204	579	21759	193355	164984	21180
29	151	172	49	4041.7551	675	18486	198046	164971	17811
30	83	185	49	5284.6327	602	32413	258947	229449	31811
31	86	196	49	4438.1633	889	26539	217470	173909	25650
32	140	199	49	5193.9388	677	28771	254503	221330	28094

==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif
count	x-corner	y-corner	area	mean	min	max	area*mean	area*mean-area*min	max-min
1	121	35	49	6906.1837	1000	30502	338403	289403	29502
2	103	50	49	5139.7959	693	26379	251850	217893	25686
3	171	55	49	6366.4286	821	27103	311955	271726	26282
4	155	84	49	5717.9796	802	30504	280181	240883	29702
5	113	85	49	4460.7959	940	20194	218579	172519	19254
6	98	86	49	6146.7551	887	33117	301191	257728	32230
7	97	93	49	5075.0816	913	24024	248679	203942	23111
8	187	94	49	6004.6531	960	31380	294228	247188	30420
9	76	95	49	5999.5102	702	33411	293976	259578	32709
10	108	98	49	7624.0612	712	28367	373579	338691	27655
11	135	102	49	4574.449	889	23236	224148	180587	22347
12	64	104	49	5415.0612	906	23710	265338	220944	22804
13	108	107	49	6551.1429	1157	22497	321006	264313	21340
14	140	111	49	5673.8776	598	32835	278020	248718	32237
15	210	113	49	4929.5102	642	24973	241546	210088	24331
16	70	114	49	4977.1429	603	28499	243880	214333	27896
17	113	128	49	5277.551	659	31826	258600	226309	31167
18	133	139	49	4662.102	686	26874	228443	194829	26188
19	92	144	49	6225.6122	634	31975	305055	273989	31341
20	173	161	49	9729.7959	1547	45301	476760	400957	43754
21	67	165	49	5379.2449	1079	28291	263583	210712	27212
22	180	168	49	5649.6122	1245	26809	276831	215826	25564
23	191	169	49	5241.9388	651	29660	256855	224956	29009
24	157	170	49	5504.3265	847	28271	269712	228209	27424
25	168	175	49	3552.5714	694	18391	174076	140070	17697
26	181	179	49	5799.2857	1078	32374	284165	231343	31296
27	190	188	49	5359.1429	528	31488	262598	236726	30960
28	119	192	49	5618.9796	830	27425	275330	234660	26595
29	137	198	49	4544.1633	686	26530	222664	189050	25844

==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop003Batch_BlindDeblur001.tif
count	x-corner	y-corner	area	mean	min	max	area*mean	area*mean-area*min	max-min
1	1	16	49	5159.7959	801	22757	252830	213581	21956
2	121	40	49	6152.3061	955	33734	301463	254668	32779
3	74	45	49	5343.2653	572	30135	261820	233792	29563
4	82	88	49	6441.9796	581	35916	315657	287188	35335
5	133	102	49	7130.9796	1095	25881	349418	295763	24786
6	34	110	49	5239.8367	417	28981	256752	236319	28564
7	124	111	49	8550.0612	1104	36948	418953	364857	35844
8	174	114	49	5685.5102	652	30476	278590	246642	29824
9	165	116	49	7671.1633	1049	36561	375887	324486	35512
10	96	134	49	5845.9388	661	27722	286451	254062	27061
11	162	141	49	6504.8776	1316	32675	318739	254255	31359
12	82	143	49	5311.7755	660	28715	260277	227937	28055
13	173	143	49	7282.2449	992	39373	356830	308222	38381
14	69	152	49	5504.5306	748	32683	269722	233070	31935
15	180	152	49	5190.3469	776	28618	254327	216303	27842
16	141	155	49	5942.2653	1334	27445	291171	225805	26111
17	90	158	49	4107.3265	646	24833	201259	169605	24187
18	75	159	49	5887.1429	642	34920	288470	257012	34278
19	114	160	49	5557.6939	907	24645	272327	227884	23738
20	74	167	49	4630.2041	568	26403	226880	199048	25835
21	58	179	49	5034.102	631	31485	246671	215752	30854
22	47	181	49	6310.898	696	33911	309234	275130	33215
23	78	183	49	6452.551	1421	30627	316175	246546	29206
24	67	190	49	10823.2653	768	54756	530340	492708	53988
25	125	190	49	3999.102	725	19767	195956	160431	19042
26	114	196	49	5423.9388	1036	26339	265773	215009	25303
27	117	205	49	4972.2857	709	26565	243642	208901	25856
28	145	208	49	5469.7143	1241	27608	268016	207207	26367
29	58	211	49	5526.3878	650	25422	270793	238943	24772
30	115	229	49	1537.8571	695	2619	75355	41300	1924

==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop004Batch_BlindDeblur001.tif
count	x-corner	y-corner	area	mean	min	max	area*mean	area*mean-area*min	max-min
1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	125	54	49	6170.6327	1077	28957	302361	249588	27880
3	118	62	49	4632.4694	630	24840	226991	196121	24210
4	187	69	49	4984.2449	659	28214	244228	211937	27555
5	90	71	49	5730.8571	997	28676	280812	231959	27679
6	130	82	49	5387.102	811	26373	263968	224229	25562
7	177	90	49	6215.5714	1464	20059	304563	232827	18595
8	53	92	49	6589.7755	852	35078	322899	281151	34226
9	169	93	49	6792.3061	961	31750	332823	285734	30789
10	132	95	49	6231.2857	899	28905	305333	261282	28006
11	111	98	49	5613.2245	836	25026	275048	234084	24190
12	134	106	49	8958.6122	1223	37093	438972	379045	35870
13	124	106	49	4036.2449	847	18112	197776	156273	17265
14	169	116	49	4603.898	713	28290	225591	190654	27577
15	69	118	49	7708.8163	940	39450	377732	331672	38510
16	135	118	49	5883.0204	1017	27716	288268	238435	26699
17	142	126	49	6057.4286	1123	29384	296814	241787	28261
18	71	131	49	11801.551	1271	56253	578276	515997	54982
19	174	134	49	4382.3469	594	24121	214735	185629	23527
20	124	136	49	7733.7755	1003	43656	378955	329808	42653
21	116	139	49	4436.0612	755	21954	217367	180372	21199
22	134	147	49	7147.9592	738	23072	350250	314088	22334
23	62	151	49	5902.3673	747	29089	289216	252613	28342
24	149	151	49	4672.5306	1224	18089	228954	168978	16865
25	118	156	49	4010.8163	839	12428	196530	155419	11589
26	134	159	49	5670.8571	1340	22850	277872	212212	21510
27	76	159	49	5338.0612	896	28126	261565	217661	27230
28	65	160	49	6481.6939	1497	25156	317603	244250	23659
29	64	169	49	3908.2041	1235	15506	191502	130987	14271
30	111	185	49	5028.2857	722	21734	246386	211008	21012
31	54	186	49	5997.8776	712	30076	293896	259008	29364
32	99	194	49	6825.1837	730	35638	334434	298664	34908
33	232	209	49	6296.8163	1505	33810	308544	234799	32305
34	194	236	49	6738.0204	841	36095	330163	288954	35254

==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop005Batch_BlindDeblur001.tif
count	x-corner	y-corner	area	mean	min	max	area*mean	area*mean-area*min	max-min
1	106	55	49	5921.2245	1204	23929	290140	231144	22725
2	96	74	49	4445.4286	943	16838	217826	171619	15895
3	89	79	49	5661.3265	771	30993	277405	239626	30222
4	104	84	49	4624.6735	975	21979	226609	178834	21004
5	123	88	49	5143.0612	1479	17559	252010	179539	16080
6	133	101	49	5812.6122	969	26370	284818	237337	25401
7	119	105	49	6500.3469	1335	26183	318517	253102	24848
8	96	105	49	6468.9388	785	28251	316978	278513	27466
9	142	109	49	4648.4082	1119	19339	227772	172941	18220
10	96	113	49	4992.551	1038	22382	244635	193773	21344
11	65	114	49	6767.9388	1309	33482	331629	267488	32173
12	107	117	49	7138.6122	1265	24604	349792	287807	23339
13	116	121	49	5900.3878	1352	25229	289119	222871	23877
14	96	122	49	5655	1290	23268	277095	213885	21978
15	67	123	49	4980.7143	965	20730	244055	196770	19765
16	142	127	49	9252.8163	1195	42414	453388	394833	41219
17	113	129	49	7197.9796	951	32643	352701	306102	31692
18	129	129	49	5402.2041	1027	18893	264708	214385	17866
19	122	130	49	4887.0204	1230	18825	239464	179194	17595
20	43	146	49	6374.9592	1011	28650	312373	262834	27639
21	95	148	49	4801.0612	789	22820	235252	196591	22031
22	121	149	49	5653.7143	1438	19928	277032	206570	18490
23	55	149	49	6056.2449	851	27165	296756	255057	26314
24	68	159	49	6109.3469	1386	27320	299358	231444	25934
25	45	161	49	10094.449	1664	28854	494628	413092	27190
26	36	170	49	6494.7143	916	29508	318241	273357	28592
27	131	176	49	10359.7347	1358	41753	507627	441085	40395
28	230	175	49	5061.2041	815	24505	247999	208064	23690
29	82	177	49	6788.7959	1230	29071	332651	272381	27841
30	85	193	49	5832.0204	898	28904	285769	241767	28006
31	231	226	49	5250.0612	1021	22773	257253	207224	21752

==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series003_Crop001Batch_BlindDeblur001.tif
count	x-corner	y-corner	area	mean	min	max	area*mean	area*mean-area*min	max-min
1	174	70	49	5984.8571	1163	19024	293258	236271	17861
2	193	70	49	4478.449	993	14442	219444	170787	13449
3	95	77	49	6259.449	1339	21405	306713	241102	20066
4	127	77	49	3500.102	1302	9228	171505	107707	7926
5	103	79	49	4908.2857	1123	18114	240506	185479	16991
6	189	79	49	3308.2041	1505	7144	162102	88357	5639
7	154	80	49	5581.5714	1330	22792	273497	208327	21462
8	214	82	49	2180.4694	589	5351	106843	77982	4762
9	189	87	49	2629.7347	1168	4947	128857	71625	3779
10	95	88	49	1258.0816	724	3007	61646	26170	2283
11	162	88	49	2113.3061	905	4802	103552	59207	3897
12	146	91	49	1945.7347	895	7577	95341	51486	6682
13	208	93	49	3006.6735	942	10668	147327	101169	9726
14	241	96	49	2398.1224	721	6243	117508	82179	5522
15	129	101	49	4496.0816	1350	14895	220308	154158	13545
16	101	107	49	3037.8367	1004	9155	148854	99658	8151
17	245	107	49	2397.0204	1009	7525	117454	68013	6516
18	213	112	49	6132.5714	1046	23670	300496	249242	22624
19	154	114	49	1804.8776	876	5882	88439	45515	5006
20	193	114	49	5549.2857	1563	19487	271915	195328	17924
21	116	117	49	2699.2653	1030	8756	132264	81794	7726
22	203	119	49	5757.3265	1215	19436	282109	222574	18221
23	149	121	49	4567.6735	1024	14980	223816	173640	13956
24	157	122	49	3159.7347	971	10770	154827	107248	9799
25	191	121	49	2897.0816	1335	7130	141957	76542	5795
26	133	124	49	5603.4694	1066	18699	274570	222336	17633
27	143	129	49	3893.7551	1061	13502	190794	138805	12441
28	83	132	49	1856.6531	746	5248	90976	54422	4502
29	96	131	49	1388.3061	724	3853	68027	32551	3129
30	214	134	49	3472.4694	1006	14637	170151	120857	13631
31	56	138	49	5649.0816	886	20365	276805	233391	19479
32	158	138	49	1557.5306	928	3323	76319	30847	2395
33	132	139	49	1967.1837	913	4043	96392	51655	3130
34	90	141	49	1555.6122	879	3743	76225	33154	2864
35	108	143	49	1642.5102	827	3632	80483	39960	2805
36	140	144	49	5739.3878	1423	15437	281230	211503	14014
37	162	145	49	4464.102	1269	16321	218741	156560	15052
38	76	146	49	1842.8163	791	4133	90298	51539	3342
39	212	146	49	1881.2857	1013	3982	92183	42546	2969
40	235	147	49	5478.2857	1106	17996	268436	214242	16890
41	186	151	49	5269.6122	1206	18893	258211	199117	17687
42	126	154	49	2501.9592	1217	6232	122596	62963	5015
43	233	155	49	2802.1633	1086	6770	137306	84092	5684
44	143	156	49	4556.7959	2034	15249	223283	123617	13215
45	212	156	49	2216.5714	1060	6024	108612	56672	4964
46	82	159	49	1659.9388	744	3280	81337	44881	2536
47	246	163	49	2318.4082	972	4496	113602	65974	3524
48	224	165	49	2221.551	940	7216	108856	62796	6276
49	268	166	49	2592.5714	834	6277	127036	86170	5443
50	59	167	49	3384.5714	732	11087	165844	129976	10355
51	141	167	49	2332.2857	1230	4276	114282	54012	3046
52	164	167	49	2053.3061	976	4023	100612	52788	3047
53	72	169	49	1711.6735	635	4191	83872	52757	3556
54	281	169	49	931.8367	505	2239	45660	20915	1734
55	87	173	49	2381.7143	746	8340	116704	80150	7594
56	79	181	49	3291.2041	1163	8156	161269	104282	6993
57	163	181	49	5557.898	1419	18723	272337	202806	17304
58	200	182	49	1440.5918	883	3553	70589	27322	2670
59	117	182	49	3095.7551	819	12839	151692	111561	12020
60	239	187	49	1987.3061	936	4015	97378	51514	3079
61	88	190	49	1667.5306	706	3870	81709	47115	3164
62	228	190	49	2673.4082	840	6849	130997	89837	6009
63	165	191	49	4108.1633	1233	11176	201300	140883	9943
64	207	191	49	2660.3878	933	7719	130359	84642	6786
65	117	193	49	1097.8163	729	2673	53793	18072	1944
66	133	193	49	2397.7347	846	5477	117489	76035	4631
67	183	200	49	2302.2041	754	7884	112808	75862	7130
68	80	202	49	1653.9388	504	5434	81043	56347	4930
69	144	202	49	2633.551	1116	5727	129044	74360	4611
70	208	208	49	1404.4286	498	4417	68817	44415	3919
71	106	210	49	1503.898	663	3731	73691	41204	3068
