RO_wout20min_mitotic	RO_wout20min_mitotic

==proc_RO_wout20min_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series003_Crop003Batch_BlindDeblur001.tif
count	x-corner	y-corner	area	mean	min	max	area*mean	area*mean-area*min	max-min
1	181	16	49	4619.2041	756	16483	226341	189297	15727
2	180	25	49	4638.2041	991	16832	227272	178713	15841
3	140	38	49	4240.9184	1114	10951	207805	153219	9837
4	129	39	49	4814.9796	1298	18468	235934	172332	17170
5	98	44	49	5786.5102	1009	18914	283539	234098	17905
6	144	45	49	4467.4694	1390	12059	218906	150796	10669
7	110	50	49	4207.3469	845	13028	206160	164755	12183
8	107	58	49	4191.1429	909	15394	205366	160825	14485
9	65	59	49	4359.5918	1417	11646	213620	144187	10229
10	115	67	49	4933.2653	1156	14319	241730	185086	13163
11	122	69	49	5244.0612	1573	17984	256959	179882	16411
12	150	81	49	5574.1224	1473	18429	273132	200955	16956
13	157	83	49	5748.5714	1542	16543	281680	206122	15001
14	176	85	49	8917.5102	2050	18600	436958	336508	16550
15	211	89	49	6868.1224	1630	19654	336538	256668	18024
16	73	90	49	5674.0408	1143	23484	278028	222021	22341
17	133	91	49	6499.3061	2196	23175	318466	210862	20979
18	58	92	49	3377.7755	1032	10848	165511	114943	9816
19	72	98	49	5643.7347	1253	18337	276543	215146	17084
20	82	98	49	4505.6939	796	15725	220779	181775	14929
21	139	99	49	5214.4082	1423	13193	255506	185779	11770
22	78	107	49	2820.1429	1125	6882	138187	83062	5757
23	98	107	49	6982.0408	1449	20407	342120	271119	18958
24	56	108	49	6152.8367	1507	22906	301489	227646	21399
25	134	108	49	3915.8163	1327	10756	191875	126852	9429
26	86	113	49	5915.3469	1873	17208	289852	198075	15335
27	52	117	49	5076.0204	992	18807	248725	200117	17815
28	8	120	49	4395.449	508	19336	215377	190485	18828
29	80	120	49	7407.898	2187	22190	362987	255824	20003
30	134	122	49	6821.0816	1784	23814	334233	246817	22030
31	102	123	49	5391.0204	1132	21636	264160	208692	20504
32	126	127	49	4262.3061	1318	13370	208853	144271	12052
