condition	cellID	centromere	CENPC	CENPN	cenpn_norm	cenpc_norm
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	2	179772	48838	0.28965987516363734	0.7322257556679297
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	3	210151	54673	0.3242674629350413	0.855961856014124
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	4	242852	45848	0.2719260812584964	0.9891556483516235
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	5	204581	51194	0.3036333930367183	0.8332747998592702
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	6	121769	27129	0.16090304175671236	0.4959748906499796
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	7	149034	52803	0.3131764279508895	0.6070274195659738
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	8	193866	58432	0.34656222256361147	0.7896317465918989
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	9	212980	51475	0.3053000138017165	0.8674845996159339
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	10	338923	92690	0.5497476110593706	1.3804605266017052
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	11	141984	48809	0.2894878751558617	0.5783122048636903
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	12	117272	36986	0.21936525129616877	0.4776582494420124
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	13	168450	45877	0.27209808126627194	0.6861103427800923
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	14	192895	58208	0.34523367077941364	0.7856767858151731
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	15	186961	50991	0.30242939298228905	0.7615071285040597
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	16	155399	44240	0.26238897737907607	0.6329525744000212
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	17	635068	76644	0.4545782274466977	2.5866828327020936
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	18	167886	63962	0.37936084473599596	0.6838131256039097
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	19	211868	44358	0.26308883947968026	0.8629553345451624
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	20	175836	62215	0.3689993270262029	0.7161941123958464
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	21	189931	51456	0.3051873241414498	0.7736041763999152
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	22	146890	59683	0.35398194703696645	0.5982947358323999
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	23	180201	55961	0.3319066356941789	0.7339731070306644
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	25	126098	42382	0.2513691148119349	0.5136072544012116
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	26	231727	27925	0.16562414541841544	0.9438426322434103
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	27	198034	37471	0.22224180315034717	0.806608344447093
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	28	164984	34337	0.203653940241079	0.6719930471548279
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	29	164971	40867	0.24238359716434676	0.6719400971135329
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	30	229449	67897	0.4026994664807217	0.934564155776488
